school,test,college,subject,style,direction,Remarks,polite,language,math,project
(10289)江苏科技大学,统考,(005)计算机学院,(085410)(专业学位)人工智能,全日制,(00)不区分研究方向,1.不招收同等学力考生；2.拟招生人数按专业划分，仅供参考，后期将根据国家下达的招生计划、实际录取的推免生人数适当调整。,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(818)计算机程序设计语言
(10289)江苏科技大学,统考,(005)计算机学院,(085412)(专业学位)网络与信息安全,全日制,(00)不区分研究方向,1.不招收同等学力考生；2.拟招生人数按专业划分，仅供参考，后期将根据国家下达的招生计划、实际录取的推免生人数适当调整。,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(818)计算机程序设计语言
(10289)江苏科技大学,统考,(005)计算机学院,(085404)(专业学位)计算机技术,全日制,(00)不区分研究方向,1.不招收同等学力考生；2.拟招生人数按专业划分，仅供参考，后期将根据国家下达的招生计划、实际录取的推免生人数适当调整。,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(818)计算机程序设计语言
(10289)江苏科技大学,统考,(005)计算机学院,(085405)(专业学位)软件工程,全日制,(00)不区分研究方向,1.不招收同等学力考生；2.拟招生人数按专业划分，仅供参考，后期将根据国家下达的招生计划、实际录取的推免生人数适当调整。,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(818)计算机程序设计语言
(10289)江苏科技大学,统考,(004)自动化学院,(085407)(专业学位)仪器仪表工程,全日制,(00)不区分研究方向,1.不招收同等学力考生；2.拟招生人数按专业划分，仅供参考，后期将根据国家下达的招生计划、实际录取的推免生人数适当调整。,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(820)电路基础
(10289)江苏科技大学,统考,(004)自动化学院,(085406)(专业学位)控制工程,非全日制,(00)不区分研究方向,1.不招收同等学力考生；2.拟招生人数按专业划分，仅供参考，后期将根据国家下达的招生计划、实际录取的推免生人数适当调整。,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(820)电路基础
(10289)江苏科技大学,统考,(005)计算机学院,(085404)(专业学位)计算机技术,非全日制,(00)不区分研究方向,1.不招收同等学力考生；2.拟招生人数按专业划分，仅供参考，后期将根据国家下达的招生计划、实际录取的推免生人数适当调整。,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(818)计算机程序设计语言
(10304)南通大学,统考,(630)信息科学技术学院,(085410)(专业学位)人工智能,全日制,(04)深度学习与智能软件工程,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(822)数据结构
(10289)江苏科技大学,统考,(004)自动化学院,(085406)(专业学位)控制工程,全日制,(00)不区分研究方向,1.不招收同等学力考生；2.拟招生人数按专业划分，仅供参考，后期将根据国家下达的招生计划、实际录取的推免生人数适当调整。,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(820)电路基础
(10295)江南大学,统考,(019)物联网工程学院,(085403)(专业学位)集成电路工程,非全日制,(02)集成电路器件与工艺,备注：,(101)思想政治理论,(204)英语（二）,(302)数学（二）,(810)模拟与数字电子技术
